Price,dia,tempMedia,tempMax,tempMin,humedadMedia,humedadMax,humedadMin,velViento,dirViento,velVientoMax,dirVientoVelMax,radiacion,precipitacion,Dia,Mes,Año
68,140.0,19.81,23.83,14.33,75.8,87.6,52.31,0.985,232.1,3.606,259.6,28.78,0.0,19,5,2020
67,141.0,21.44,25.97,16.72,64.77,85.9,38.17,1.246,231.2,5.557,224.5,29.04,0.0,20,5,2020
80,142.0,20.45,24.96,15.13,79.8,90.6,62.16,0.6980000000000001,153.1,3.91,186.7,28.47,0.0,21,5,2020
61,143.0,22.34,26.05,18.19,63.0,83.4,38.7,0.914,181.3,3.734,4.737,28.6,0.0,22,5,2020
77,144.0,24.11,30.17,18.45,48.65,80.1,25.28,0.953,261.1,3.92,36.76,28.14,0.0,23,5,2020
96,146.0,21.53,25.56,16.99,68.61,94.3,47.28,1.266,245.4,4.626,246.4,28.58,0.0,25,5,2020
107,147.0,21.73,26.43,18.12,63.98,84.8,38.29,1.656,271.0,5.116,161.3,27.36,0.0,26,5,2020
83,148.0,23.69,29.36,18.72,57.28,91.5,31.34,2.583,91.9,8.4,110.2,26.69,0.4,27,5,2020
77,149.0,22.34,26.3,17.19,59.75,79.2,43.62,2.7,265.8,7.86,269.4,26.86,0.0,28,5,2020
85,150.0,21.76,27.09,16.66,62.33,90.2,35.96,1.37,247.6,4.851,253.8,28.47,0.0,29,5,2020
91,151.0,20.61,23.77,16.99,71.5,83.9,41.7,1.277,189.6,4.773,130.0,28.68,0.0,30,5,2020
107,153.0,21.44,24.83,17.66,65.21,90.2,41.5,0.987,222.1,3.332,342.8,28.77,0.0,1,6,2020
92,154.0,20.62,24.23,16.92,81.4,93.5,65.57,0.968,253.1,4.322,242.8,23.3,0.0,2,6,2020
110,155.0,21.65,25.5,16.66,72.4,91.1,46.98,3.135,268.0,9.84,244.7,28.38,0.0,3,6,2020
87,156.0,21.19,23.37,18.65,77.1,87.3,64.77,5.673,259.5,13.03,228.3,29.33,0.0,4,6,2020
90,157.0,20.87,26.37,16.06,75.8,91.6,50.43,2.426,250.6,8.22,263.5,29.34,0.0,5,6,2020
91,158.0,21.47,26.76,16.86,72.3,95.4,37.55,2.5380000000000003,246.9,9.11,264.2,25.69,0.0,6,6,2020
96,161.0,19.56,23.76,15.66,68.45,80.5,55.16,0.909,224.6,4.322,267.8,28.93,0.0,9,6,2020
89,162.0,19.74,23.1,15.86,68.13,76.9,51.51,0.98,229.5,3.616,263.1,26.74,0.0,10,6,2020
71,163.0,19.02,21.91,16.86,66.3,79.5,53.44,5.505,256.6,12.49,270.6,29.57,0.0,11,6,2020
74,164.0,18.15,20.84,16.12,70.6,84.9,58.64,4.856,260.8,9.54,249.9,28.75,0.0,12,6,2020
83,165.0,19.29,22.83,15.66,55.5,73.9,41.55,2.572,255.1,7.72,254.9,29.72,0.0,13,6,2020
72,168.0,19.52,24.3,16.32,66.5,81.5,47.96,2.292,238.9,9.33,256.7,28.08,0.0,16,6,2020
88,169.0,19.69,26.49,16.26,70.3,81.3,48.42,1.156,221.3,4.998,248.6,28.66,0.0,17,6,2020
54,174.0,25.45,33.75,18.79,49.9,78.8,23.07,1.426,110.2,5.606,144.4,29.0,0.0,22,6,2020
54,174.0,25.45,33.75,18.79,49.9,78.8,23.07,1.426,110.2,5.606,144.4,29.0,0.0,22,6,2020
57,190.0,27.23,35.61,21.58,53.81,74.4,21.8,2.22,179.1,7.9,271.8,24.82,0.0,8,7,2020
82,193.0,25.3,28.75,22.05,68.07,79.3,58.18,1.705,208.1,5.635,151.9,25.81,0.0,11,7,2020
63,203.0,28.49,34.48,24.5,55.71,76.5,30.0,2.057,114.1,9.19,260.9,25.86,0.0,21,7,2020
62,204.0,26.07,29.55,23.78,70.0,80.6,57.01,2.43,248.1,6.556,267.2,27.62,0.0,22,7,2020
71,205.0,25.88,29.41,23.44,73.2,82.7,60.48,0.862,243.0,3.195,252.5,26.99,0.0,23,7,2020
65,206.0,25.99,30.08,21.98,72.7,82.3,59.21,0.626,224.5,2.323,283.5,27.1,0.0,24,7,2020
71,210.0,26.14,29.54,22.58,74.7,84.3,63.54,0.942,261.1,4.371,6.252,26.74,0.0,28,7,2020
28,211.0,26.62,30.55,22.11,71.7,81.6,62.41,1.064,154.3,3.116,93.3,26.18,0.0,29,7,2020
47,212.0,27.57,32.35,24.17,72.6,83.9,48.54,1.17,202.4,5.743,266.0,25.88,0.0,30,7,2020
46,213.0,27.37,30.61,24.04,73.1,84.0,61.61,1.209,237.9,4.959,283.4,25.5,0.0,31,7,2020
